Comment,Designator,Footprint,LCSC
STSPIN220,U2,STSPIN220,
Conn_01x04_Male,J5,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,
Conn_01x04_Male,J6,JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal,
Conn_01x02_Male,J4,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,
STSPIN220,U1,STSPIN220,
Conn_01x02_Male,J3,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,
Conn_01x02_Male,J1,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,
Conn_01x02_Male,J2,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,
